buyer_province,buyer_city,buyer_district,buyer_village,seller_province,seller_city,seller_district,seller_village,buyer_name,seller_name,buyer_npwp,buyer_active_pkp_flag,seller_npwp,seller_active_pkp_flag,buyer_klu_code,buyer_klu_description,seller_klu_code,seller_klu_description,invoice_date,international_transcation_flag,normalized_item_name,brand,category,quantity,unit_amount,discount_amount,dpp_amount,ppn_amount,ppnbm_amount,gross_amount
DKI Jakarta,Jakarta Pusat,Tanah Abang,Bendungan Hilir,Jawa Timur,Malang,Klojen,Kauman,Badan Pendidikan,PD Usamah Tbk,590956460848080,true,706242392735488,true,36992,industri pita mesin tulis/gambar,36992,industri pita mesin tulis/gambar,2025-05-13,false,facial care products,biore,Facial care products,7,1223965,696503,7871252,865837,0,8737089
Bali,Badung,Kuta,Legian,Bali,Badung,Kuta,Legian,Direktorat Keuangan,PD Wibisono (Persero) Tbk,243312554949115,true,848644670267134,false,24115,"industri kimia dasar organik, yang bersumber dari hasil pertanian",24115,"industri kimia dasar organik, yang bersumber dari hasil pertanian",2025-03-23,true,diesel power generator,lovol,Diesel generators,10,9598001,5049101,90930909,10002399,0,100933308
Bali,Badung,Kuta,Legian,Jawa Barat,Bandung,Coblong,Dago,Direktorat Perhubungan,Perum Kuswoyo (Persero) Tbk,340606969718814,false,996247833005255,true,10214,industri pemindangan ikan,10214,industri pemindangan ikan,2025-06-01,true,feminine hygiene products,laureir,Feminine hygiene products,5,8697849,2811762,40677483,4474523,0,45152006
Jawa Barat,Bandung,Coblong,Dago,Jawa Barat,Bandung,Coblong,Dago,Direktorat Pekerjaan Umum,CV Winarno Marpaung Tbk,965241991243997,true,566620087936868,true,10802,industri konsentrat makanan hewan,10802,industri konsentrat makanan hewan,2024-11-30,false,motorcycle,viar,Motorcycles,8,6755062,2046689,51993807,5719318,0,57713125
DKI Jakarta,Jakarta Barat,Grogol,Tanjung Duren,Jawa Barat,Bandung,Coblong,Dago,Kementerian Perhubungan,PD Utama (Persero) Tbk,851625567394814,false,950338885520291,false,47895,"perdagangan eceran kaki lima dan los pasar pakaian, alas kaki, perlengkapan pakaian dan barang perlengkapan pribadi bekas",47895,"perdagangan eceran kaki lima dan los pasar pakaian, alas kaki, perlengkapan pakaian dan barang perlengkapan pribadi bekas",2025-06-11,false,ecommerce advertising,bliklan,Advertising,9,7531188,1335113,66445579,7309013,0,73754592
Jawa Timur,Malang,Klojen,Kauman,Jawa Tengah,Solo,Banjarsari,Sragen,Direktorat Pendidikan,PD Sitompul (Persero) Tbk,421700410089563,true,478130087747353,false,26412,industri kapur,26412,industri kapur,2025-02-26,true,baby diapers,mamy  poko,Infant diapers,3,2580518,242495,7499059,824896,0,8323955
Jawa Barat,Bandung,Coblong,Dago,Jawa Timur,Malang,Klojen,Kauman,Kementerian Kesehatan,CV Santoso Permadi,573042685287182,false,966715401682561,true,50228,angkutan penyeberangan umum dalam kabupaten/kota untuk barang,50228,angkutan penyeberangan umum dalam kabupaten/kota untuk barang,2025-06-16,false,inkjet printer,toshiba,Inkjet printers,8,148919,46105,1145247,125977,0,1271224
Jawa Timur,Malang,Klojen,Kauman,Jawa Barat,Bandung,Coblong,Dago,Kementerian Perhubungan,Perum Novitasari,853085304313326,false,285824870396799,false,92331,kebun raya dan kebun binatang,92331,kebun raya dan kebun binatang,2024-09-24,true,domestic refrigerator,panasonik,Domestic refrigerators,10,9011107,452421,89658649,9862451,0,99521100
Bali,Badung,Kuta,Legian,Jawa Barat,Bandung,Coblong,Dago,Badan Perhubungan,PT Iswahyudi Siregar,338307666387560,false,479990045371065,false,10794,"industri kerupuk, keripik, peyek dan sejenisnya",10794,"industri kerupuk, keripik, peyek dan sejenisnya",2025-04-20,false,water,eternal plus,Water,7,4282413,343539,29633352,3259668,0,32893020
DKI Jakarta,Jakarta Barat,Grogol,Tanjung Duren,DKI Jakarta,Jakarta Barat,Grogol,Tanjung Duren,Dinas Pendidikan,CV Halim (Persero) Tbk,271569432222349,true,633182077207700,true,47822,"perdagangan eceran kaki lima dan los pasar roti, kue kering, kue basah dan sejenisnya",47822,"perdagangan eceran kaki lima dan los pasar roti, kue kering, kue basah dan sejenisnya",2025-07-17,true,snack foods,dk,Snack foods,8,4349055,3216603,31575837,3473342,0,35049179
Jawa Barat,Bandung,Coblong,Dago,DKI Jakarta,Jakarta Barat,Grogol,Tanjung Duren,Direktorat Kesehatan,Perum Nainggolan,766639380283718,true,884965840548908,false,47895,"perdagangan eceran kaki lima dan los pasar pakaian, alas kaki, perlengkapan pakaian dan barang perlengkapan pribadi bekas",47895,"perdagangan eceran kaki lima dan los pasar pakaian, alas kaki, perlengkapan pakaian dan barang perlengkapan pribadi bekas",2024-08-19,true,ecommerce advertising,bliklan,Advertising,10,739025,364069,7026181,772879,0,7799060
Jawa Timur,Malang,Klojen,Kauman,DKI Jakarta,Jakarta Pusat,Tanah Abang,Bendungan Hilir,Direktorat Keuangan,PT Waluyo Tbk,617620132882818,true,298313395361258,false,92429,jasa rekreasi lainnya,92429,jasa rekreasi lainnya,2024-09-24,false,television,panasonic,Televisions,8,7357727,4970037,53891779,5928095,0,59819874
Jawa Tengah,Solo,Banjarsari,Sragen,Jawa Timur,Malang,Klojen,Kauman,Badan Pendidikan,Perum Irawan Tbk,304733896990950,false,499497294085255,false,36992,industri pita mesin tulis/gambar,36992,industri pita mesin tulis/gambar,2025-01-10,false,facial care products,biore,Facial care products,5,4685017,2331156,21093929,2320332,0,23414261
Bali,Badung,Kuta,Legian,Jawa Timur,Malang,Klojen,Kauman,Direktorat Perhubungan,Perum Rajasa Suwarno,119416657798675,true,349495913956837,false,01123,pertanian hortikultura bunga-bungaan,01123,pertanian hortikultura bunga-bungaan,2024-09-25,true,insurance service,bumiputera,Insurance law service,5,9806883,3095567,45938848,5053273,0,50992121
Bali,Badung,Kuta,Legian,Jawa Tengah,Solo,Banjarsari,Sragen,Badan Kesehatan,CV Pertiwi Tbk,912092934540740,true,234605630324742,true,47822,"perdagangan eceran kaki lima dan los pasar roti, kue kering, kue basah dan sejenisnya",47822,"perdagangan eceran kaki lima dan los pasar roti, kue kering, kue basah dan sejenisnya",2025-05-15,true,snack foods,dk,Snack foods,4,8173504,1159723,31534293,3468772,0,35003065
Bali,Badung,Kuta,Legian,Jawa Tengah,Solo,Banjarsari,Sragen,Badan Pendidikan,PD Hariyah Tbk,701384361702158,true,151244432966779,true,47743,perdagangan eceran barang perlengkapan pribadi bekas,47743,perdagangan eceran barang perlengkapan pribadi bekas,2025-01-14,false,water,aqua,Water,3,8285577,430283,24426448,2686909,0,27113357
Bali,Badung,Kuta,Legian,Jawa Timur,Malang,Klojen,Kauman,Badan Perhubungan,Perum Mandala Putra Tbk,551156530321635,false,749665661308055,true,01123,pertanian hortikultura bunga-bungaan,01123,pertanian hortikultura bunga-bungaan,2025-03-31,true,insurance service,bumiputera,Insurance law service,3,9492881,1274378,27204265,2992469,0,30196734
Jawa Barat,Bandung,Coblong,Dago,Bali,Badung,Kuta,Legian,Badan Pekerjaan Umum,CV Lailasari (Persero) Tbk,582823000731728,false,799214528099171,true,63460,jasa konsultasi pariwisata,63460,jasa konsultasi pariwisata,2025-03-06,true,accounting software,accurate online,Accounting software,4,3590415,555003,13806657,1518732,0,15325389
DKI Jakarta,Jakarta Selatan,Cilandak,Cipete,Bali,Badung,Kuta,Legian,Direktorat Perhubungan,Perum Wulandari (Persero) Tbk,768574749991014,false,136748991133712,true,22121,industri pengasapan karet,22121,industri pengasapan karet,2024-10-21,false,air conditioner,modena,Air conditioners,5,7667381,298549,38038356,4184219,0,42222575
Jawa Barat,Bandung,Coblong,Dago,DKI Jakarta,Jakarta Selatan,Cilandak,Cipete,Dinas Pendidikan,Perum Lailasari Najmudin,286809858682959,false,943250664787534,false,63210,pergudangan,63210,pergudangan,2024-12-23,false,edible vegetable oil,barco,Edible vegetable or plant oils,2,7913447,1444262,14382632,1582089,0,15964721
Jawa Timur,Malang,Klojen,Kauman,DKI Jakarta,Jakarta Barat,Grogol,Tanjung Duren,Sekretariat Keuangan,CV Suryatmi Sihombing (Persero) Tbk,202821628155121,true,859195435519553,true,92331,kebun raya dan kebun binatang,92331,kebun raya dan kebun binatang,2025-03-14,false,domestic refrigerator,panasonik,Domestic refrigerators,10,724975,183700,7066050,777265,0,7843315
Bali,Badung,Kuta,Legian,Bali,Badung,Kuta,Legian,Direktorat Keuangan,PT Nasyiah,475270226362430,false,217770881457844,true,47822,"perdagangan eceran kaki lima dan los pasar roti, kue kering, kue basah dan sejenisnya",47822,"perdagangan eceran kaki lima dan los pasar roti, kue kering, kue basah dan sejenisnya",2025-01-13,false,snack foods,dk,Snack foods,7,8362590,2417746,56120384,6173242,0,62293626
Jawa Timur,Malang,Klojen,Kauman,Jawa Tengah,Solo,Banjarsari,Sragen,Direktorat Pekerjaan Umum,Perum Tarihoran Uwais (Persero) Tbk,840456661741483,false,161028965193682,true,22121,industri pengasapan karet,22121,industri pengasapan karet,2025-04-04,false,air conditioner,modena,Air conditioners,10,8413326,7416216,76717044,8438874,0,85155918
DKI Jakarta,Jakarta Selatan,Cilandak,Cipete,Jawa Tengah,Solo,Banjarsari,Sragen,Kementerian Pekerjaan Umum,CV Kusumo,369426731504436,true,720190317236792,true,10291,industri penggaraman/pengeringan biota air lainnya,10291,industri penggaraman/pengeringan biota air lainnya,2024-08-17,false,snack foods,cheetos,Snack foods,2,3819851,118972,7520730,827280,0,8348010
DKI Jakarta,Jakarta Selatan,Cilandak,Cipete,Bali,Badung,Kuta,Legian,Direktorat Kesehatan,CV Marbun,720667685827909,true,314608278368634,true,28222,industri mesin dan perkakas mesin untuk pengerjaan kayu,28222,industri mesin dan perkakas mesin untuk pengerjaan kayu,2025-04-17,true,feminine hygiene products,softex,Feminine hygiene products,5,7011578,1425540,33632350,3699558,0,37331908
Jawa Tengah,Solo,Banjarsari,Sragen,Bali,Badung,Kuta,Legian,Sekretariat Perhubungan,PD Marpaung Rahayu,474294997240570,false,368872243429854,false,13101,pertambangan pasir besi,13101,pertambangan pasir besi,2024-09-26,true,water dispenser,changhong,Hot water dispenser,7,782280,333632,5142328,565656,0,5707984
Jawa Timur,Malang,Klojen,Kauman,Jawa Timur,Malang,Klojen,Kauman,Kementerian Perhubungan,PT Handayani Tbk,692164749227186,false,913398152303096,true,26412,industri kapur,26412,industri kapur,2025-05-10,false,baby diapers,mamy  poko,Infant diapers,3,1305409,246148,3670079,403708,0,4073787
Jawa Tengah,Solo,Banjarsari,Sragen,Bali,Badung,Kuta,Legian,Sekretariat Pendidikan,PT Situmorang Ramadan,177037185389261,true,870567088358578,false,92424,gelanggang permainan dan ketangkasan,92424,gelanggang permainan dan ketangkasan,2025-03-21,true,snack foods,wafello,Snack foods,2,7330833,206450,14455216,1590073,0,16045289
DKI Jakarta,Jakarta Pusat,Tanah Abang,Bendungan Hilir,DKI Jakarta,Jakarta Barat,Grogol,Tanjung Duren,Badan Keuangan,CV Susanti Wasita,584907712615914,true,698040885049631,false,10291,industri penggaraman/pengeringan biota air lainnya,10291,industri penggaraman/pengeringan biota air lainnya,2025-04-30,true,snack foods,cheetos,Snack foods,3,2987176,82804,8878724,976659,0,9855383
Jawa Timur,Malang,Klojen,Kauman,Jawa Barat,Bandung,Coblong,Dago,Badan Pendidikan,UD Anggriawan Tbk,862920571124361,true,597340350242064,false,28222,industri mesin dan perkakas mesin untuk pengerjaan kayu,28222,industri mesin dan perkakas mesin untuk pengerjaan kayu,2025-05-12,false,feminine hygiene products,softex,Feminine hygiene products,7,4245951,1916108,27805549,3058610,0,30864159
Jawa Barat,Bandung,Coblong,Dago,Jawa Barat,Bandung,Coblong,Dago,Badan Pendidikan,PD Fujiati Saefullah,545640043773907,false,737175613011284,true,92331,kebun raya dan kebun binatang,92331,kebun raya dan kebun binatang,2024-08-24,false,domestic refrigerator,panasonik,Domestic refrigerators,5,3910745,1273107,18280618,2010867,0,20291485
Jawa Barat,Bandung,Coblong,Dago,DKI Jakarta,Jakarta Barat,Grogol,Tanjung Duren,Kementerian Pekerjaan Umum,PT Januar Hutasoit,924562273455025,true,467852331490268,false,07301,pertambangan emas dan perak,07301,pertambangan emas dan perak,2025-04-06,true,marketing and customer relationship management software,salesforce,Customer relationship management software maintenance,4,2267273,824718,8244374,906881,0,9151255
Jawa Tengah,Solo,Banjarsari,Sragen,Jawa Timur,Malang,Klojen,Kauman,Direktorat Pendidikan,UD Nasyidah,949098459096796,true,861475626052759,false,45102,perdagangan besar mobil bekas,45102,perdagangan besar mobil bekas,2025-07-11,false,baby diapers,sweety,Infant diapers,2,6669862,29189,13310535,1464158,0,14774693
Bali,Badung,Kuta,Legian,Jawa Tengah,Solo,Banjarsari,Sragen,Dinas Perhubungan,PD Kurniawan (Persero) Tbk,797545746023406,false,786893755676183,true,92424,gelanggang permainan dan ketangkasan,92424,gelanggang permainan dan ketangkasan,2025-03-13,true,snack foods,wafello,Snack foods,8,5119909,2723107,38236165,4205978,0,42442143
DKI Jakarta,Jakarta Selatan,Cilandak,Cipete,Jawa Tengah,Solo,Banjarsari,Sragen,Dinas Pekerjaan Umum,PD Safitri (Persero) Tbk,537576145756430,false,854897930329179,false,01223,pembibitan dan budidaya ayam buras,01223,pembibitan dan budidaya ayam buras,2025-05-03,true,water,prima,Water,7,1711307,1026235,10952914,1204820,0,12157734
Jawa Timur,Malang,Klojen,Kauman,Jawa Barat,Bandung,Coblong,Dago,Badan Pendidikan,PD Nasyiah Tbk,872007404639291,false,826012586615629,false,28222,industri mesin dan perkakas mesin untuk pengerjaan kayu,28222,industri mesin dan perkakas mesin untuk pengerjaan kayu,2025-04-24,true,feminine hygiene products,softex,Feminine hygiene products,7,4678522,796114,31953540,3514889,0,35468429
Jawa Timur,Malang,Klojen,Kauman,DKI Jakarta,Jakarta Timur,Matraman,Pisangan Baru,Sekretariat Kesehatan,PD Waskita Agustina,723984725023365,true,343140617122746,true,03232,jasa produksi budidaya ikan laut,03232,jasa produksi budidaya ikan laut,2024-11-16,false,detergent and laundry products,gentlegen,Laundry products,3,97572,9085,283631,31199,0,314830
Jawa Barat,Bandung,Coblong,Dago,DKI Jakarta,Jakarta Selatan,Cilandak,Cipete,Dinas Pekerjaan Umum,UD Wibisono Salahudin Tbk,117765375324121,true,158996810522646,true,47895,"perdagangan eceran kaki lima dan los pasar pakaian, alas kaki, perlengkapan pakaian dan barang perlengkapan pribadi bekas",47895,"perdagangan eceran kaki lima dan los pasar pakaian, alas kaki, perlengkapan pakaian dan barang perlengkapan pribadi bekas",2024-10-15,false,ecommerce advertising,bliklan,Advertising,9,1956718,1563773,16046689,1765135,0,17811824
Jawa Timur,Malang,Klojen,Kauman,Jawa Timur,Malang,Klojen,Kauman,Direktorat Pendidikan,Perum Sihotang Rahayu,579942845424497,true,902091543183972,false,10802,industri konsentrat makanan hewan,10802,industri konsentrat makanan hewan,2025-05-26,true,motorcycle,viar,Motorcycles,2,5454139,311078,10597200,1165692,0,11762892
Jawa Barat,Bandung,Coblong,Dago,Bali,Badung,Kuta,Legian,Kementerian Pendidikan,PD Manullang Tbk,837144604762093,true,608405715898434,true,10802,industri konsentrat makanan hewan,10802,industri konsentrat makanan hewan,2024-08-08,false,motorcycle,viar,Motorcycles,6,7658449,3344791,42605903,4686649,0,47292552
DKI Jakarta,Jakarta Timur,Jatinegara,Bali Mester,Jawa Tengah,Solo,Banjarsari,Sragen,Kementerian Pendidikan,PT Kusumo Manullang,196112055615658,true,208720362059169,false,31102,industri mesin pembangkit listrik,31102,industri mesin pembangkit listrik,2024-09-27,true,television,denpoo,Televisions,9,1056313,614953,8891864,978105,0,9869969
Bali,Badung,Kuta,Legian,Jawa Tengah,Solo,Banjarsari,Sragen,Sekretariat Keuangan,Perum Pudjiastuti Pertiwi,216644232133649,true,839417939273098,false,55114,hotel bintang dua,55114,hotel bintang dua,2024-11-22,true,ecommerce advertising,goads,Advertising,2,5923938,1166573,10681303,1174943,0,11856246
DKI Jakarta,Jakarta Timur,Matraman,Pisangan Baru,Bali,Badung,Kuta,Legian,Dinas Keuangan,Perum Firgantoro Tamba Tbk,958399476814090,false,482608234635783,false,47895,"perdagangan eceran kaki lima dan los pasar pakaian, alas kaki, perlengkapan pakaian dan barang perlengkapan pribadi bekas",47895,"perdagangan eceran kaki lima dan los pasar pakaian, alas kaki, perlengkapan pakaian dan barang perlengkapan pribadi bekas",2024-09-11,true,ecommerce advertising,bliklan,Advertising,3,2453361,593830,6766253,744287,0,7510540
Jawa Timur,Malang,Klojen,Kauman,DKI Jakarta,Jakarta Selatan,Cilandak,Cipete,Direktorat Keuangan,CV Lazuardi Sudiati Tbk,516642568550754,false,465225643246440,true,22121,industri pengasapan karet,22121,industri pengasapan karet,2024-12-11,true,air conditioner,modena,Air conditioners,3,2690899,791083,7281614,800977,0,8082591
DKI Jakarta,Jakarta Barat,Grogol,Tanjung Duren,Jawa Timur,Malang,Klojen,Kauman,Badan Kesehatan,PD Zulkarnain Jailani (Persero) Tbk,676851710047270,true,584040001798022,true,36992,industri pita mesin tulis/gambar,36992,industri pita mesin tulis/gambar,2025-06-13,false,facial care products,biore,Facial care products,10,8214342,4420243,77723177,8549549,0,86272726
Jawa Tengah,Solo,Banjarsari,Sragen,Bali,Badung,Kuta,Legian,Badan Kesehatan,Perum Rahimah Putra Tbk,254514744214720,false,469432855131393,true,10794,"industri kerupuk, keripik, peyek dan sejenisnya",10794,"industri kerupuk, keripik, peyek dan sejenisnya",2024-08-14,true,water,eternal plus,Water,8,7275192,1473834,56727702,6240047,0,62967749
Jawa Timur,Malang,Klojen,Kauman,Jawa Timur,Malang,Klojen,Kauman,Direktorat Pendidikan,CV Marbun (Persero) Tbk,452474488847859,false,555342010552922,false,16295,industri kayu bakar dan pelet kayu,16295,industri kayu bakar dan pelet kayu,2025-01-12,false,social media advertising,fb,Online and social media publicity service,2,6845314,43739,13646889,1501157,0,15148046
Jawa Barat,Bandung,Coblong,Dago,Jawa Timur,Malang,Klojen,Kauman,Sekretariat Perhubungan,CV Nasyiah Maryadi,188547296176337,false,449339198861351,false,36992,industri pita mesin tulis/gambar,36992,industri pita mesin tulis/gambar,2024-08-23,true,facial care products,biore,Facial care products,6,2870798,160179,17064609,1877106,0,18941715
DKI Jakarta,Jakarta Selatan,Cilandak,Cipete,Jawa Barat,Bandung,Coblong,Dago,Badan Kesehatan,PT Saragih Mulyani,778240505720474,true,954731821774891,true,11050,industri air minum dan air mineral,11050,industri air minum dan air mineral,2024-09-07,true,domestic refrigerator,daikin,Domestic refrigerators,8,7833840,4728955,57941765,6373594,0,64315359
Bali,Badung,Kuta,Legian,Jawa Barat,Bandung,Coblong,Dago,Direktorat Keuangan,Perum Kusumo,409258245391128,true,671210687111843,true,10291,industri penggaraman/pengeringan biota air lainnya,10291,industri penggaraman/pengeringan biota air lainnya,2025-06-24,false,snack foods,cheetos,Snack foods,8,7631856,315472,60739376,6681331,0,67420707
Jawa Tengah,Solo,Banjarsari,Sragen,Bali,Badung,Kuta,Legian,Direktorat Pekerjaan Umum,PD Susanti Rajasa Tbk,311937960841688,false,635512005847441,true,15494,industri tempe,15494,industri tempe,2025-04-03,true,diesel power generator,general power,Diesel generators,8,1786473,720241,13571543,1492869,0,15064412
DKI Jakarta,Jakarta Selatan,Cilandak,Cipete,Jawa Timur,Malang,Klojen,Kauman,Badan Keuangan,Perum Yolanda (Persero) Tbk,560233179511646,false,773161730080175,true,45311,instalasi air (plumbing),45311,instalasi air (plumbing),2024-11-12,false,electric fan,maspion,Domestic electric fan,2,5581293,198193,10964393,1206083,0,12170476
Jawa Timur,Malang,Klojen,Kauman,Jawa Tengah,Solo,Banjarsari,Sragen,Badan Perhubungan,UD Habibi Tbk,769955322477001,true,729291347919407,false,55114,hotel bintang dua,55114,hotel bintang dua,2025-02-11,false,ecommerce advertising,goads,Advertising,3,8881414,391970,26252272,2887749,0,29140021
Jawa Timur,Malang,Klojen,Kauman,Jawa Tengah,Solo,Banjarsari,Sragen,Direktorat Kesehatan,PD Thamrin Gunawan,274449277500348,true,213875852869225,true,11050,industri air minum dan air mineral,11050,industri air minum dan air mineral,2024-12-03,false,domestic refrigerator,daikin,Domestic refrigerators,10,2248638,1580077,20906303,2299693,0,23205996
Jawa Barat,Bandung,Coblong,Dago,DKI Jakarta,Jakarta Pusat,Tanah Abang,Bendungan Hilir,Direktorat Pekerjaan Umum,PT Natsir Tbk,947114803415405,false,701240591900148,true,55212,restoran/rumah makan talam selaka,55212,restoran/rumah makan talam selaka,2025-02-04,false,insurance service,avrist,Insurance law service,8,3305051,1542836,24897572,2738732,0,27636304
Bali,Badung,Kuta,Legian,Jawa Timur,Malang,Klojen,Kauman,Sekretariat Kesehatan,CV Puspita Pradipta,381478726225367,true,641095618694947,false,52405,perdagangan eceran bahan konstruksi dan sanitasi bekas di dalam bangunan,52405,perdagangan eceran bahan konstruksi dan sanitasi bekas di dalam bangunan,2025-02-08,true,insurance service,lippo,Insurance law service,9,2141745,597820,18677885,2054567,0,20732452
Jawa Barat,Bandung,Coblong,Dago,Jawa Timur,Malang,Klojen,Kauman,Badan Pendidikan,PD Hardiansyah Tbk,159959525420824,false,521042095098312,true,63460,jasa konsultasi pariwisata,63460,jasa konsultasi pariwisata,2025-01-29,false,accounting software,accurate online,Accounting software,2,6339990,470891,12209089,1342999,0,13552088
Jawa Tengah,Solo,Banjarsari,Sragen,Jawa Barat,Bandung,Coblong,Dago,Dinas Perhubungan,CV Saptono Jailani,792818806279133,true,189201771431623,true,10802,industri konsentrat makanan hewan,10802,industri konsentrat makanan hewan,2024-10-25,false,motorcycle,viar,Motorcycles,4,2558522,575462,9658626,1062448,0,10721074
